district,apartment_type,property_type,floor_area,price,price_m2,build_year,floor,elevator,condition,plot,energy_class,date_scrape,municipaliy,number_of_room,number_of_room_cat,property_type_main,postcode
Leppävaara,"1h, kk, kph, pa...",apartment,"25,00",146000.0,5840.0,1963.0,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk, ph, s, ...",apartment,"28,50",158900.0,5575.0,1985.0,1/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"3h, k, s",apartment,"68,50",273300.0,3990.0,1989.0,4/6,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, vh, l...",apartment,"77,00",215000.0,2792.0,1987.0,1/4,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, lasit...",apartment,"65,00",302000.0,4646.0,2018.0,2/5,on,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h,k,s, terassi...",apartment,"71,00",315000.0,4437.0,1990.0,5/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3-4h, k, psh, s...",apartment,"80,50",250000.0,3106.0,1987.0,1/6,on,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"1h, kk, kph, pa...",apartment,"25,00",146000.0,5840.0,1963.0,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk, ph, s, ...",apartment,"28,50",158900.0,5575.0,1985.0,1/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,3h+k+s,apartment,"78,50",315000.0,4013.0,1989.0,3/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, vh, l...",apartment,"72,00",282000.0,3917.0,1988.0,1/4,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,3h+k+kph+s+vh+l...,apartment,"67,00",240000.0,3582.0,1985.0,4/6,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, avok, kph, ...",apartment,"64,50",314000.0,4868.0,2001.0,1/5,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3 h, avok, s, e...",row house,"74,00",384500.0,5196.0,2017.0,1/2,ei,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,house,02600
Leppävaara,"3h, kt, kh",apartment,"49,00",252000.0,5143.0,2021.0,2/6,ei,hyvä,oma							,A,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, kt, kh",apartment,"49,00",285400.0,5824.0,2021.0,6/6,ei,hyvä,oma							,A,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,3h+avokeitti...,apartment,"66,00",317000.0,4803.0,2003.0,5/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, teras...",apartment,"74,00",310000.0,4189.0,2009.0,4/6,on,hyvä,oma							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,3h+k+kph+s+vh+e...,apartment,"79,00",348200.0,4408.0,2011.0,1/7,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=17&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"1h, kk, lasitet...",apartment,"28,50",155000.0,5439.0,1989.0,1/5,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,1h+kk+s,apartment,"30,00",158000.0,5267.0,1985.0,4/4,on,tyyd.,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk, vh, kph...",apartment,"43,00",230000.0,5349.0,2010.0,4/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk",apartment,"29,00",125000.0,4310.0,1962.0,3/3,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk, kph, vh",apartment,"27,50",137000.0,4982.0,1961.0,1/2,ei,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"1h, kk, kph, vh...",apartment,"43,00",220000.0,5116.0,2010.0,2/6,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=2&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"3h, k, kph, sau...",apartment,"72,00",260000.0,3611.0,1985.0,2/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=18&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, erill...",apartment,"73,50",290000.0,3946.0,1986.0,3/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=18&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"3h, k, s, kph, ...",apartment,"72,50",315000.0,4345.0,1999.0,3/5,on,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=18&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"1 h, kk, kph, l...",apartment,"26,00",149000.0,5731.0,1964.0,3/3,ei,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=3&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,1h+kk+s+las.parv.,apartment,"28,50",137500.0,4825.0,1985.0,2/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=3&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,1h + kk + s + parv,apartment,"41,00",186000.0,4537.0,1990.0,1/3,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=3&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,"3 h, avok, s, l...",apartment,"87,00",410000.0,4713.0,2010.0,2/6,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=19&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,3h+k+kph+s+eril...,apartment,"73,50",370500.0,5041.0,2009.0,2/8,on,tyyd.,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=19&search=1&sf=0&so=a,3.0,3+,apartment,02600
Leppävaara,"2h+k+s, lasit. ...",apartment,"67,50",308000.0,4563.0,2010.0,5/7,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=4&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2 h, k, s, lasi...",apartment,"59,00",234000.0,3966.0,1984.0,3/5,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=4&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, s, lasit...",apartment,"50,50",256000.0,5069.0,2004.0,2/7,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=4&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h,k,kph,s,lasi...",apartment,"60,50",342500.0,5661.0,2011.0,3/7,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=4&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, sauna, l...",apartment,"59,00",302000.0,5119.0,2010.0,6/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=4&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"3h, kk",row house,"64,50",325000.0,5039.0,2017.0,2/2,ei,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=20&search=1&sf=0&so=a,3.0,3+,house,02600
Leppävaara,"3 h, k, kph/wc,...",row house,"64,50",291000.0,4512.0,2017.0,1/2,ei,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=20&search=1&sf=0&so=a,3.0,3+,house,02600
Leppävaara,2h+k+s+parveke,apartment,"50,00",224000.0,4480.0,1989.0,2/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=5&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, s, lasit...",apartment,"51,50",220000.0,4272.0,1985.0,4/6,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=5&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, kk , lasite...",apartment,"45,50",182000.0,4000.0,1984.0,4/4,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=5&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, vh, kph,...",apartment,"55,00",240000.0,4364.0,1995.0,1/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=5&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, kt, kh, s, ...",apartment,"44,00",261800.0,5950.0,2021.0,5/7,ei,hyvä,oma							,A,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=5&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,2h+kt+p (yht.j&...,apartment,"39,50",212000.0,5367.0,2019.0,2/4,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, kph, s, ...",apartment,"44,50",265000.0,5955.0,2004.0,2/7,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, kph, s, ...",apartment,"44,50",270000.0,6067.0,2004.0,7/7,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,2h+kk+kph+p,apartment,"43,00",179000.0,4163.0,1961.0,3/3,ei,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, kk, lasitet...",apartment,"40,50",191000.0,4716.0,1964.0,3/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, avok, kph, ...",apartment,"43,50",243500.0,5598.0,2019.0,4/6,on,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=6&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, kt, kph, la...",apartment,"42,00",212000.0,5048.0,2019.0,2/4,on,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"1-2h, kk, lasit...",apartment,"55,00",278000.0,5055.0,2010.0,5/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a,1.0,1.0,apartment,02600
Leppävaara,2h+kk+kph+parv.,apartment,"44,50",168000.0,3775.0,1980.0,3/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, k, s + lasi...",apartment,"53,00",239000.0,4509.0,1997.0,2/7,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,"2h, kk, s, lasi...",apartment,"42,50",178500.0,4200.0,1985.0,1/4,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=7&search=1&sf=0&so=a,2.0,2.0,apartment,02600
Leppävaara,4h+k+rt+kph+s+w...,apartment,"118,00",530000.0,4492.0,2005.0,6/6,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=23&search=1&sf=0&so=a,4.0,3+,apartment,02600
Leppävaara,3-4 h+k,apartment,"75,00",185000.0,2467.0,1975.0,4/6,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=23&search=1&sf=0&so=a,3.0,3+,apartment,02600
