postcode,nonsub_old,nonsub_new,number_of_room
00710,18.7,20.9,1
00710,14.3,16.0,2
00710,12.9,14.8,3+
02810,,,2
02810,10.3,,3+
01620,20.3,24.8,1
01620,15.7,17.6,2
01620,13.8,16.0,3+
00530,24.1,26.5,1
00530,17.9,19.0,2
00530,13.5,13.4,3+
02320,19.1,20.4,1
02320,15.2,16.1,2
02320,13.5,14.5,3+
02260,20.5,22.0,1
02260,14.5,,2
02260,13.2,,3+
00800,21.3,22.2,1
00800,15.7,17.9,2
00800,11.6,16.1,3+
00640,20.7,21.6,1
00640,15.6,16.9,2
00640,11.7,12.9,3+
01450,19.0,22.1,1
01450,15.0,16.3,2
01450,13.0,13.6,3+
02780,20.9,22.1,1
02780,15.0,15.8,2
02780,13.3,13.6,3+
02210,19.0,21.5,1
02210,14.8,16.1,2
02210,12.0,13.7,3+
02600,21.9,23.6,1
02600,18.2,18.6,2
02600,16.3,16.0,3+
00840,20.8,23.2,1
00840,16.4,16.8,2
00840,13.3,14.6,3+
00240,22.6,25.1,1
00240,17.9,18.4,2
00240,15.3,14.4,3+
00940,20.7,23.9,1
00940,15.5,17.1,2
00940,14.8,15.5,3+
02200,23.6,24.2,1
02200,18.5,19.9,2
02200,16.1,17.5,3+
00700,20.7,23.2,1
00700,16.1,17.0,2
00700,14.4,15.4,3+
00740,18.3,19.8,1
00740,13.7,15.1,2
00740,13.0,14.4,3+
02720,23.0,24.7,1
02720,15.1,11.3,2
02720,13.5,,3+
00580,19.1,20.6,1
00580,19.2,19.2,2
00580,16.5,13.7,3+
02760,19.0,20.9,1
02760,16.2,17.1,2
02760,14.6,15.2,3+
00250,26.9,28.9,1
00250,19.0,20.5,2
00250,14.4,14.3,3+
02100,23.1,23.9,1
02100,18.1,17.0,2
02100,15.7,15.7,3+
01340,20.3,21.3,1
01340,18.3,18.7,2
01340,16.6,16.5,3+
01730,17.3,18.4,1
01730,12.1,14.8,2
01730,11.5,8.0,3+
01300,21.9,22.1,1
01300,17.2,18.7,2
01300,16.3,16.8,3+
00520,23.1,28.0,1
00520,16.8,20.8,2
00520,15.0,15.4,3+
02240,,,1
01600,21.9,23.3,1
01600,15.4,16.2,2
01600,14.3,15.0,3+
00420,21.3,23.0,1
00420,15.4,17.3,2
00420,14.6,16.1,3+
00980,20.7,22.6,1
00980,17.0,18.6,2
00980,14.7,15.4,3+
01360,18.4,19.5,1
01360,13.8,14.1,2
01360,12.8,13.3,3+
01710,19.6,22.5,1
01710,15.2,17.0,2
01710,15.1,15.2,3+
02330,19.6,23.0,1
02330,16.0,18.6,2
02330,14.2,15.6,3+
02230,20.5,22.4,1
02230,16.7,17.0,2
02230,14.3,15.6,3+
02710,20.1,24.3,1
02710,15.4,15.6,2
02710,14.4,15.4,3+
01400,21.8,26.4,1
01400,17.0,19.4,2
01400,14.1,15.3,3+
00150,26.4,29.8,1
00150,19.4,21.1,2
00150,16.3,23.5,3+
00370,21.5,25.3,1
00370,17.2,17.6,2
00370,15.3,15.4,3+
02610,21.7,22.8,1
02610,17.3,18.4,2
02610,16.8,16.5,3+
01700,21.9,23.7,1
01700,17.6,18.3,2
01700,14.7,16.3,3+
00990,21.9,23.0,1
00990,19.6,19.0,2
00990,18.1,17.3,3+
02360,17.6,19.7,1
02360,15.3,16.0,2
02360,13.5,14.1,3+
02650,20.8,22.1,1
02650,15.9,17.2,2
02650,15.1,16.4,3+
02680,20.3,20.2,1
02680,17.5,19.1,2
02680,17.7,15.6,3+
02940,19.4,22.3,1
02940,15.6,17.4,2
02940,14.0,14.7,3+
00340,23.4,,1
00340,19.0,20.6,2
00340,17.6,,3+
02820,,15.8,3+
02630,20.8,18.7,1
02630,16.6,17.7,2
02630,15.7,16.8,3+
02170,23.2,23.5,1
02170,17.1,16.4,2
02170,15.7,,3+
00320,24.6,25.7,1
00320,17.7,18.8,2
00320,14.5,16.4,3+
00510,24.4,28.6,1
00510,17.8,20.8,2
00510,15.2,,3+
02920,20.0,25.5,1
02920,,,2
02920,13.9,,3+
00930,17.9,21.7,1
00930,16.2,18.3,2
00930,12.6,15.9,3+
02130,21.4,21.8,1
02130,15.9,15.5,2
02130,14.4,,3+
00100,26.0,28.6,1
00100,18.7,19.6,2
00100,14.6,15.0,3+
02660,24.5,19.7,1
02660,16.0,,2
02660,14.3,12.4,3+
00610,17.0,22.2,1
00610,15.3,17.1,2
00610,14.2,17.7,3+
00270,27.8,28.5,1
00270,19.0,19.0,2
00270,14.9,18.3,3+
00430,21.4,21.8,1
00430,16.9,15.5,2
00430,14.2,13.8,3+
00760,16.8,18.0,1
00760,12.0,15.1,2
00760,13.8,12.4,3+
01200,18.5,20.1,1
01200,14.4,15.3,2
01200,13.5,14.5,3+
01660,20.9,,1
01660,,,2
01660,14.1,,3+
01380,,,2
01380,13.0,,3+
00750,16.2,21.1,1
00750,15.2,14.3,2
00750,13.5,13.7,3+
00590,20.4,26.9,1
00590,16.8,20.2,2
00590,14.8,15.3,3+
02140,18.9,19.4,1
02140,,,2
02140,12.2,,3+
00170,24.3,28.6,1
00170,19.0,19.8,2
00170,13.9,13.4,3+
01650,19.4,20.6,1
01650,14.6,15.2,2
01650,13.8,12.3,3+
00140,24.9,28.0,1
00140,20.3,20.3,2
00140,17.2,14.4,3+
01510,21.9,22.1,1
01510,17.9,17.7,2
01510,16.0,17.1,3+
02750,22.0,21.2,1
02750,15.7,17.6,2
02750,14.5,14.5,3+
01280,18.4,18.9,1
01280,14.8,15.7,2
01280,14.3,14.1,3+
02160,25.9,,1
